0,923-54-6498,ACTIVE,Joannis,Adara,,U,3,1940-12-02,4779 Weller Way,None,92624,Augusta,British Columbia,United States of America,(357) 423-9191,(270) 141-3475,(421) 277-2023,Adara.Joannis@gmail.com,None,Yukon Income Tax for the elderly,0.2336,California Tax for the masses,0.0432,,,,,1,1,2018-12-02,9999-12-31
1,645-68-9627,ACTIVE,Paperno,Jirina,P,F,3,1982-12-17,7216 Gates Avenue,None,H5K 1Q9,Inglewood,WI,United States of America,767-4707,,,Jirina.P.Paperno@ip6.li,Jirina.P.Paperno@devils.com,Nunavut Income Tax for the unemployed,0.377,British Columbia Income Tax for the unemployed,0.357,,,,,1,0,2018-12-02,9999-12-31
2,332-28-3838,INACTIVE,McBryan,Mariam,,U,3,1994-06-08,12566 Misty Upper,None,78220,Berkeley,Saskatchewan,United States of America,(420) 757-3642,811-7498,,Mariam.McBryan@aggies.com,Mariam.McBryan@shtrudel.tv,Iowa Income Tax for the elderly,0.0036,New York Income Tax for school teachers,0.0614,,,,,1,1,2018-12-02,9999-12-31
3,472-49-1339,INACTIVE,Adey,Robinia,L,U,3,1944-09-01,12513 Wesleyan Boulevard,None,H2C 1Z2,Hull,AL,United States of America,+1 (819) 163-0774,(777) 787-1085,,Robinia.L.Adey@12Freeukisp.co.uk,Robinia.L.Adey@icqmail.com,Missouri Income Tax for doctors and lawyers,0.015,Wisconsin Income Tax for inherited wealth,0.0675,,,,,1,1,2018-12-02,9999-12-31
4,700-39-4024,INACTIVE,Haubert,Lulu,,U,,1999-09-22,6066 Fillmore Lower,None,10044,Rancho Cucamonga,OR,United States of America,734-4072,713-2893,,Lulu.Haubert@buffaloes.com,None,Manitoba Income Tax for the unemployed,0.394,Ontario Income Tax for the masses,0.2216,,,,,1,1,2018-12-02,9999-12-31
5,375-32-5901,ACTIVE,Wandscher,Gaffney,,F,3,1949-11-25,10792 Trail Lake Road,None,M1G 1P3,Moreno Valley,ME,Canada,(667) 588-0328,196-0005,,Gaffney.Wandscher@stoned.com,Gaffney.Wandscher@peacemail.com,Prince Edward Island Income Tax for the elderly,0.258,Illinois Income Tax for school teachers,0.03,,,,,1,0,2018-12-02,9999-12-31
6,421-96-4908,ACTIVE,Pokrifcak,Julien,X,U,3,1946-08-11,22645 Rosedale Lane,None,M9F 1U7,St. Johns,KY,United States of America,+1 (596) 080-3737,+1 (536) 074-7727,,Julien.X.Pokrifcak@box.az,Julien.X.Pokrifcak@moose-mail.com,Manitoba Income Tax for everyone else,0.434,Iowa Income Tax for everyone else,0.0683,,,,,1,1,2018-12-02,9999-12-31
7,827-09-7446,INACTIVE,Ayukawa,Riyad,,F,3,1943-05-19,15520 Ledgestone Upper,None,V6C 1P2,St. Paul,Manitoba,United States of America,466-5901,672-0894,,Riyad.Ayukawa@spamavert.com,Riyad.Ayukawa@born2frag.de,Saskatchewan Income Tax for the masses,0.275,Mississippi Income Tax for inherited wealth,0.05,,,,,1,1,2018-12-02,9999-12-31
8,483-77-1213,ACTIVE,Turcotte,Phuong,,U,,1958-01-15,1839 Katherine Court,None,X5F 1U3,Pomona,CT,United States of America,+1 (492) 486-3127,+1 (541) 029-1303,874-0060,Phuong.Turcotte@london.com,Phuong.Turcotte@gmx.hk,Nunavut Income Tax for children,0.0,British Columbia Income Tax for everyone else,0.417,,,,,1,1,2018-12-02,9999-12-31
9,135-51-0161,ACTIVE,Nadolny,Sarah,P,U,2,1954-04-04,3445 Chamblee Park,None,M4K 1M5,Chicago,IL,United States of America,+1 (483) 451-6260,371-5601,(402) 289-6139,Sarah.P.Nadolny@europe.com,None,British Columbia Income Tax for everyone else,0.417,Nova Scotia Income Tax for blue collar workers,0.3077,,,,,1,1,2018-12-02,9999-12-31
10,030-52-1460,INACTIVE,Gannon,Charene,,U,3,1943-09-01,3388 Concord Crescent,None,80072,Fairbanks,MA,Canada,444-6160,,,Charene.Gannon@lavabit.com,Charene.Gannon@gmx.es,Ohio Income Tax for the unemployed,0.0362,Iowa Income Tax for inherited wealth,0.0898,,,,,1,1,2018-12-02,9999-12-31
11,031-63-6387,ACTIVE,McCullogh,Lilli,,F,3,1987-12-25,673 Edloe Park,None,35259,Winnipeg,OK,United States of America,(408) 066-3019,186-6059,116-4104,Lilli.McCullogh@kify.net,Lilli.McCullogh@gmx.ph,New Brunswick Income Tax for school teachers,0.2568,Maine Income Tax for blue collar workers,0.0417,,,,,1,0,2018-12-02,9999-12-31
12,288-68-4492,INACTIVE,French,Carolien,,U,3,1965-11-02,10070 Glenview Boulevard,None,V6C 1T6,Greensboro,AL,United States of America,+1 (513) 456-0545,878-0891,,Carolien.French@hushmail.com,Carolien.French@gmx.hk,Iowa Income Tax for the elderly,0.0036,Newfoundland Income Tax for doctors and lawyers,0.1057,,,,,1,1,2018-12-02,9999-12-31
13,570-67-1101,ACTIVE,Limerick,Heidie,D,U,3,1983-04-16,21018 Green Avenue,None,V6V 1R7,Idaho Falls,VA,United States of America,(719) 231-8791,(708) 168-3038,,Heidie.D.Limerick@fastmail.fm,None,Idaho Income Tax for inherited wealth,0.082,New Jersey Income Tax for the masses,0.014,,,,,1,1,2018-12-02,9999-12-31
14,311-17-1331,ACTIVE,Doggett,Greg,F,U,3,2005-09-01,9733 Berry South,None,60706,Richmond,VT,United States of America,435-5567,760-0951,,Greg.F.Doggett@eml.cc,Greg.F.Doggett@gawab.com,Yukon Income Tax for the unemployed,0.2636,Missouri Income Tax for everyone else,0.045,,,,,1,1,2018-12-02,9999-12-31
15,433-49-0015,INACTIVE,Kletchko,Fawn,,U,3,2004-02-06,4410 Porter Road,None,53739,Overland Park,UT,United States of America,(555) 012-1845,,,Fawn.Kletchko@icqmail.com,Fawn.Kletchko@mail2world.com,Oregon Income Tax for doctors and lawyers,0.07,Rhode Island Income Tax for children,0.0,,,,,1,1,2018-12-02,9999-12-31
16,810-93-4490,INACTIVE,Bamfo,Gary,,U,2,1963-01-08,14930 Griffin Upper,None,H7H 1V5,Warren,OH,United States of America,+1 (617) 293-5320,091-2273,,Gary.Bamfo@doctor.com,Gary.Bamfo@teancum.net,New York Income Tax for the masses,0.04,Idaho Income Tax for blue collar workers,0.0554,,,,,1,1,2018-12-02,9999-12-31
17,152-80-4665,ACTIVE,Litz,Judith,,U,3,2008-02-11,17514 Buckroe Court,None,64127,Chula Vista,NJ,United States of America,591-7088,(361) 868-4493,601-1296,Judith.Litz@moose-mail.com,Judith.Litz@myfastmail.com,Texas Income Tax for the masses,0.0,Alberta Income Tax for doctors and lawyers,0.36,,,,,1,1,2018-12-02,9999-12-31
18,739-93-2338,ACTIVE,Boucouris,Maitilde,,U,3,1991-08-21,16719 Ridgelea South,None,99786,Montpelier,OK,Canada,567-0764,+1 (771) 615-5831,285-7926,Maitilde.Boucouris@wildmail.com,Maitilde.Boucouris@webmail.co.za,Delaware Income Tax for the elderly,0.0283,Nunavut Income Tax for doctors and lawyers,0.3695,,,,,1,1,2018-12-02,9999-12-31
19,102-46-5704,INACTIVE,Paquette,Sukhendu,,U,3,1969-12-22,19015 Chennault Lane,None,M6S 1G8,North Las Vegas,ND,Canada,102-2175,+1 (884) 125-7430,,Sukhendu.Paquette@mac.hush.com,None,Nova Scotia Income Tax for the unemployed,0.3867,Montana Income Tax for school teachers,0.05,,,,,1,1,2018-12-02,9999-12-31
20,824-42-1232,INACTIVE,Coppins,Drucill,,U,3,2008-11-07,911 Topple Drive,None,21707,Winston-Salem,OK,Canada,(403) 386-7631,964-5176,057-4032,Drucill.Coppins@yahoo.com,Drucill.Coppins@spamavert.com,Alberta Income Tax for doctors and lawyers,0.36,New Brunswick Income Tax for inherited wealth,0.4684,,,,,1,1,2018-12-02,9999-12-31
21,363-72-8039,ACTIVE,Gorman,Thakor,,U,2,1922-04-01,12727 Hayden Crescent,None,98420,New Haven,Manitoba,United States of America,(349) 850-0411,(303) 174-5965,180-5150,Thakor.Gorman@hush.ai,Thakor.Gorman@gmx.sg,Maryland Income Tax for the masses,0.039,New Hampshire Income Tax for children,0.0,,,,,1,0,2018-12-02,9999-12-31
22,529-50-8384,ACTIVE,Caron,Carole,,U,2,1998-12-28,22345 4th East,None,80123,Moreno Valley,MN,United States of America,923-5047,+1 (347) 627-2703,383-1537,Carole.Caron@SaveWildlife.com,None,Ontario Income Tax for the elderly,0.3122,Delaware Income Tax for everyone else,0.0473,,,,,1,1,2018-12-02,9999-12-31
23,495-35-8036,INACTIVE,Kamerson,Mrugesh,S,U,2,1941-06-10,12769 Allen Park,None,57101,Lewiston,AK,United States of America,360-7377,+1 (517) 284-2994,,Mrugesh.S.Kamerson@netdove.net,None,Nebraska Income Tax for the masses,0.0529,Ohio Income Tax for those driving SUVs,0.0619,,,,,1,1,2018-12-02,9999-12-31
24,533-95-5764,ACTIVE,Events,Thanh-Ha,X,F,3,2016-09-06,12387 Saunders West,None,Y5C 1M6,Riverside,TN,United States of America,582-5895,+1 (398) 798-2139,308-4828,Thanh-Ha.X.Events@mac.hush.com,None,Alabama Tax for inherited wealth,0.05,Canadian Income Tax for the poor,0.16,,,,,1,0,2018-12-02,9999-12-31
25,916-72-1286,ACTIVE,Sellwood,Renate,W,U,3,1924-09-03,7944 Nealy North,None,68131,Amarillo,UT,United States of America,382-5437,633-6935,(888) 558-3335,Renate.W.Sellwood@gmail.com,Renate.W.Sellwood@lavabit.com,Wisconsin Income Tax for inherited wealth,0.0675,Saskatchewan Income Tax for inherited wealth,0.45,,,,,1,1,2018-12-02,9999-12-31
26,635-50-8107,INACTIVE,Garg,Pierrick,,U,3,1947-07-28,9711 Arcana Road,None,M4L 1N8,San Francisco,SD,United States of America,254-9848,+1 (587) 935-8512,,Pierrick.Garg@macgui.com,None,Delaware Income Tax for inherited wealth,0.06,Iowa Income Tax for inherited wealth,0.0898,,,,,1,1,2018-12-02,9999-12-31
27,824-00-1639,ACTIVE,Minyard,Natver,Z,U,3,1962-04-30,23341 Brookside Upper,None,T5B 1P4,Orange,MI,United States of America,417-0698,(499) 693-4982,,Natver.Z.Minyard@bulldogs.com,None,Yukon Income Tax for the unemployed,0.2636,Oklahoma Income Tax for the elderly,0.0496,,,,,1,1,2018-12-02,9999-12-31
